blockchain,address,cg_id,cmc_id,invalid_reason,verified_override
aleo,3443843282313283355522573239085696902919850365217539366784739393210722344986field,aleo,,,
aptos,0x2b3be0a97a73c87ff62cbdd36837a9fb5bbd1d7f06a73b7ed62ec15c5326c1b8,usd-coin,,,
aptos,0x328bb941e08d742bb25f764acb088999698d28c777344568b526244524d9c2e7,usd-coin,,,
aptos,0x377adc4848552eb2ea17259be928001923efe12271fef1667e2b784f04a7cf3a,thala,,,
aptos,0x416416665d52c0868d5a9f02801a4035bfcfb24f117618b2b6c1f921128caf3b,amnis-staked-aptos-coin,,,
aptos,0x50788befc1107c0cc4473848a92e5c783c635866ce3c98de71d2eeb7d2a34f85::aptos_coin::AptosCoin,,,scam,FALSE
aptos,0x50fdfa97914bd00b656e3041e143f157c84931eb1ca7224b8a8570e7d5be70f2,usd-coin,,,
aptos,0x94ed76d3d66cb0b6e7a3ab81acf830e3a50b8ae3cfb9edc0abea635a11185ff4,move-dollar,,,
aptos,0x9770fa9c725cbd97eb50b2be5f7416efdfd1f1554beb0750d4dae4c64e860da3::fa_to_coin_wrapper::WrappedUSDT,tether,,,TRUE
aptos,0xa2eda21a58856fda86451436513b867c97eecb4ba099da5775520e0f7492e852::coin::T,tether,,,TRUE
aptos,0xe568e9322107a5c9ba4cbd05a630a5586aa73e744ada246c3efb0f4ce3e295f3,tether,,,
aptos,0xedc2704f2cef417a06d1756a04a16a9fa6faaed13af469be9cdfcac5a21a8e2e,aptos,,,
aptos,0xa,aptos,,,
aptos,0x12fe253d7033ba4689e0e9e23e5df5720e0c0ed11b56e4364964915db4ddff71,aptos,,,
aptos,0x81214a80d82035a190fcb76b6ff3c0145161c3a9f33d137f2bbaee4cfec8a387,bitcoin,,,
aptos,0x981d5d65fe5718f5fa0a2696209286641c3a7a62088b6a9f361a8812cb7c2bf3,tether,,,
aptos,0xf22bede237a07e121b56d91a491eb7bcdfd1f5907926a9e58338f964a01b17fa::asset::USDC,layerzero-bridged-usdc-aptos,,,TRUE
aptos,0xf22bede237a07e121b56d91a491eb7bcdfd1f5907926a9e58338f964a01b17fa::asset::WETH,layerzero-bridged-weth-aptos,,,TRUE
aptos,0x73eb84966be67e4697fc5ae75173ca6c35089e802650f75422ab49a8729704ec::coin::DooDoo,,28881,,TRUE
aptos,0x159df6b7689437016108a019fd5bef736bac692b6d4a1f10c941f6fbb9a74ca6::oft::CakeOFT,pancakeswap-token,,,TRUE
aptos,0x5e156f1207d0ebfa19a9eeff00d62a282278fb8719f4fab3a586a0a2c0fffbea::coin::T,usd-coin-wormhole-from-ethereum,,,TRUE
aptos,0xcc8a89c8dce9693d354449f1f73e60e14e347417854f029db5bc8e7454008abb::coin::T,ethereum-wormhole,,,TRUE
aptos,0xb30a694a344edee467d9f82330bbe7c3b89f440a1ecd2da1f3bca266560fce69,usd-coin,,,TRUE
aptos,0x81214a80d82035a190fcb76b6ff3c0145161c3a9f33d137f2bbaee4cfec8a387,bitcoin,,,TRUE
aptos,0x111ae3e5bc816a5e63c2da97d0aa3886519e0cd5e4b046659fa35796bd11542a::stapt_token::StakedApt,,32027,,TRUE
aptos,0x111ae3e5bc816a5e63c2da97d0aa3886519e0cd5e4b046659fa35796bd11542a::amapt_token::AmnisApt,,29034,,TRUE
aptos,0x7fd500c11216f0fe3095d0c4b8aa4d64a4e2e04f83758462f2b127255643615::thl_coin::THL,,24268,,TRUE
aptos,0x4e1854f6d332c9525e258fb6e66f84b6af8aba687bbcb832a24768c4e175feec::abtc::ABTC,abtc,,,TRUE
aptos,0x84d7aeef42d38a5ffc3ccef853e1b82e4958659d16a7de736a29c55fbbeb0114::staked_aptos_coin::StakedAptosCoin,,22412,,TRUE
aptos,0xb614bfdf9edc39b330bbf9c3c5bcd0473eee2f6d4e21748629cc367869ece627,,32027,,TRUE
aptos,0x5ae6789dd2fec1a9ec9cccfb3acaf12e93d432f0a3a42c92fe1a9d490b7bbc06::mkl_token::MKL,,32997,,TRUE
aptos,0x8d87a65ba30e09357fa2edea2c80dbac296e5dec2b18287113500b902942929d::celer_coin_manager::WethCoin,wrapped-ether-celer,,,TRUE
aptos,0xf22bede237a07e121b56d91a491eb7bcdfd1f5907926a9e58338f964a01b17fa::asset::USDT,layerzero-bridged-usdt-aptos,,,TRUE
aptos,0x50038be55be5b964cfa32cf128b5cf05f123959f286b4cc02b86cafd48945f89,blackrock-usd-institutional-digital-liquidity-fund,,,TRUE
arbitrum,0x0c84331e39d6658cd6e6b9ba04736cc4c4734351,,,variableDebtArbWETH?,FALSE
arbitrum,0x2bcc6d6cdbbdc0a4071e48bb3b969b06b3330c07,solana,,,
arbitrum,0x3caae25ee616f2c8e13c74da0813402eae3f496b,camelot-token,,,
arbitrum,0x908c4d94d34924765f1edc22a1dd098397c59dd4,gmx,,,
