blockchain,address,pair,asset,type,category,date_added
arbitrum,0x0017abac5b6f291f9164e35b1234ca1d697f9cf4,WBTC / BTC,Wrapped Bitcoin,Crypto,Cryptocurrency (Other),null
arbitrum,0x04180965a782e487d0632013aba488a472243542,JOE / USD,joe,Crypto,null,null
arbitrum,0x07c5b924399cc23c24a95c8743de4006a32b7f2a,STETH / USD,Lido Staked Ether,Crypto,Cryptocurrency (USD pairs),null
arbitrum,0x0809e3d38d1b4214958faf06d8b1b1a2b73f2ab8,FRAX / USD,FRAX,Crypto,Stablecoins,null
arbitrum,0x1f954dc24a49708c26e0c1777f16750b5c6d5a2c,XAU / USD,Gold,Commodities,Commodities,null
arbitrum,0x221912ce795669f628c51c69b7d0873eda9c03bb,APE / USD,ApeCoin,Crypto,Cryptocurrency (USD pairs),17-May-22
arbitrum,0x24cea4b8ce57cda5058b924b9b9987992450590c,SOL / USD,Solana,Crypto,Cryptocurrency (USD pairs),null
arbitrum,0x2ba975d4d7922cd264267af16f3bd177f206fe3c,PAXG / USD,PAX Gold,Crypto,Cryptocurrency (USD pairs),20-Apr-22
arbitrum,0x36a121448d74fa81450c992a1a44b9b7377cd3a5,FXS / USD,Frax Share,Crypto,Cryptocurrency (USD pairs),null
arbitrum,0x383b3624478124697bef675f07ca37570b73992f,SPELL / USD,Spell Token,Crypto,Cryptocurrency (USD pairs),20-Oct-21
arbitrum,0x3dd6e51cb9cae717d5a8778cf79a04029f9cfdf8,JPY / USD,Japanese Yen,Forex,Foreign Exchange,null
arbitrum,0x3f3f5df88dc9f13eac63df89ec16ef6e7e25dde7,USDT / USD,Tether USD,Crypto,Stablecoins,13-Jul-21
arbitrum,0x4763b84cdbc5211b9e0a57d5e39af3b3b2440012,Total Marketcap USD,Total currency market cap,Currency,null,null
arbitrum,0x47e55ccec6582838e173f252d08afd8116c2202d,MAGIC / USD,Magic,Crypto,Cryptocurrency (USD pairs),9-Jun-22
arbitrum,0x48c4721354a3b29d80ef03c65e6644a37338a0b1,OHM Index,OHM Index,Crypto,null,null
arbitrum,0x4ee1f9ec1048979930ac832a3c1d18a0b4955a02,USDD / USD,USDD,Crypto,Cryptocurrency (USD pairs),null
arbitrum,0x50834f3163758fcc1df9973b6e91f0f0f0434ad3,USDC / USD,Circle USD,Crypto,Stablecoins,13-Jul-21
arbitrum,0x52099d4523531f678dfc568a7b1e5038aadce1d6,MATIC / USD,Polygon,Crypto,Cryptocurrency (USD pairs),1-Sep-22
arbitrum,0x594b919ad828e693b935705c3f816221729e7ae8,WTI / USD,WTI Crude,Commodities,null,null
arbitrum,0x5b58aa6e0651ae311864876a55411f481ad86080,AXS / USD,Axie Infinity,Crypto,Cryptocurrency (USD pairs),25-Apr-22
arbitrum,0x639fe6ab55c921f74e7fac1ee960c0b6293ba612,ETH / USD,Ethereum,Crypto,Cryptocurrency (USD pairs),13-Jul-21
arbitrum,0x6970460aabf80c5be983c6b74e5d06dedca95d4a,BNB / USD,BNB,Crypto,Cryptocurrency (USD pairs),null
arbitrum,0x6ce185860a4963106506c203335a2910413708e9,BTC / USD,Bitcoin,Crypto,Cryptocurrency (USD pairs),13-Jul-21
arbitrum,0x745ab5b69e01e2be1104ca84937bb71f96f5fb21,YFI / USD,Yearn Finance,Crypto,Cryptocurrency (USD pairs),24-Aug-21
arbitrum,0x7519bca20e21725557bb98d9032124f8885a26c2,BTC-USD Total Marketcap,Total cryptocurrency market cap,Crypto,null,null
arbitrum,0x761aaebf021f19f198d325d7979965d0c7c9e53b,OHMv2 / USD,Olympus v2,Crypto,Cryptocurrency (USD pairs),null
arbitrum,0x7c4720086e6feb755dab542c46de4f728e88304d,FEI / USD,FEI Protocol,Crypto,Stablecoins,null
arbitrum,0x851175a919f36c8e30197c09a9a49da932c2cc00,CVX / USD,Convex Finance,Crypto,Cryptocurrency (USD pairs),null
arbitrum,0x85bb02e0ae286600d1c68bb6ce22cc998d411916,KRW / USD,Korean Won,Forex,Foreign Exchange,17-Aug-21
arbitrum,0x86e53cf1b870786351da77a57575e79cb55812cb,LINK / USD,Chainlink,Crypto,Cryptocurrency (USD pairs),13-Jul-21
arbitrum,0x87121f6c9a9f6e90e59591e4cf4804873f54a95b,MIM / USD,Magic Internet Money,Crypto,Stablecoins,20-Oct-21
arbitrum,0x8bf61728eedce2f32c456454d87b5d6ed6150208,AVAX / USD,Avalanche,Crypto,null,null
