blockchain,creator,Address,tag_type,tag_name,start_date,end_date
ethereum,flipside,0x67090d86E110FB3974E3d3BD7e2999f58d009De8,dydx delegate,Blockchain at UCLA,2/24/22,null
ethereum,flipside,0x13BDaE8c5F0fC40231F0E6A4ad70196F59138548,dydx delegate,Blockchain at Michigan,2/24/22,null
ethereum,flipside,0xdd1ECAe49312F5a2FeF65d13327E92D32864fDEe,dydx delegate,mxdydx.eth,2/26/22,null
ethereum,flipside,0x2c5320F40305fFC933385c6DCec5493fbA7b98b8,dydx delegate,WOO DAO,3/16/22,null
ethereum,flipside,0xdC1F98682F4F8a5c6d54F345F448437b83f5E432,dydx delegate,Blockchain@Columbia,3/19/22,null
ethereum,flipside,0xDf71878436e521e430fACf36ee5e3D74fA519F2c,dydx delegate,Xenophon Labs,4/5/22,null
ethereum,flipside,0x389E3d1c46595aF7335F8C6D3e403ce2E8a9cf8A,dydx delegate,Dartmouth Blockchain,4/13/22,null
ethereum,flipside,0x7ae109a63ff4dc852e063a673b40bed85d22e585,dydx delegate,Blockchain at Berkeley,4/15/22,null
ethereum,flipside,0x2345F4E0CdF00D427D773413Dd4617d0156c29A9,dydx delegate,BoilerBlockchain @ Purdue University,4/18/22,null
ethereum,flipside,0xFC3cb09934F2D25BcB493f0c67BD4802B0037CEE,dydx delegate,Dale Satre | Stanford Blockchain Club,5/20/22,null
ethereum,flipside,0x18a0acaed8182f42c3d2b7ca53f3f39f1c5bc62c,dydx delegate,LeMayMay,5/30/22,null
ethereum,flipside,0xccC4e8Ad313dF8150211B1b934725345924ab81D,dydx delegate,Alucard.eth,6/9/22,null
ethereum,flipside,0xD4fc1974bFB6721785cA25828711d76A0Fc2Fea3,dydx delegate,AX07,7/10/22,null
ethereum,flipside,0xb55a948763e0d386b6dEfcD8070a522216AE42b1,dydx delegate,Reverie,7/19/22,null
ethereum,flipside,0x0898796cf9De9FF5BCa0e9E8007FCA959B63EEaB,dydx delegate,Moe_L,7/20/22,null
ethereum,flipside,0x1112c9c86aba7EDcC60c15A8616aD9c164b25b33,dydx delegate,Vitalii,7/26/22,null
ethereum,flipside,0x1982Ac6974D8722779120204036B1B951D551Bd6,dydx delegate,xiaolou,7/28/22,null
ethereum,flipside,0x7D05f9D2E2498d47eb880D9Ff64B02075dB0c9a6,dydx delegate,Upload,7/28/22,null
ethereum,flipside,0x070341aA5Ed571f0FB2c4a5641409B1A46b4961b,dydx delegate,Penn Blockchain,8/3/22,null
ethereum,flipside,0x4ddFBC022A413A79401baEC4947b04a0c0572c17,dydx delegate,0xCLR,8/20/22,null
ethereum,flipside,0xA85E7767b5DAfFeA56d3cDDcDA9c88ecFEc500Eb,dydx delegate,chrizzo,8/31/22,null
ethereum,flipside,0x0887360965511b7cb918db24c7ed9af5eacbecb2,dydx delegate,AndyGG,12/6/22,null
ethereum,flipside,0xe95f1a55C567A33dcc2f102E01243EE45e6dC5Fc,dydx delegate,poppi,12/12/22,null
ethereum,flipside,0x169302787177a2A97067f3415b27df4Abf6c9fa6,dydx delegate,ARIA,12/15/22,null
ethereum,flipside,0xB933AEe47C438f22DE0747D57fc239FE37878Dd1,dydx delegate,Wintermute,1/30/23,null
ethereum,flipside,0xE93D59CC0bcECFD4ac204827eF67c5266079E2b5,dydx delegate,404 DAO,2/17/23,null
ethereum,flipside,0xea172676E4105e92Cc52DBf45fD93b274eC96676,dydx delegate,StableLab (StableLab.eth),2/21/23,null
ethereum,flipside,0xBEC643BD5b7F5e9190617CA4187ef0455950C51C,dydx delegate,ITU Blockchain,3/3/23,null
ethereum,flipside,0x5cA3894616b2Ebb89e5079e341c142Bf9E3a78E4,dydx delegate,NagoyaU_Web3,3/15/23,null
ethereum,flipside,0x43D3938Ebd74106e2d177f9A304C1E9f914f2b52,dydx delegate,BristolBlockchain,3/25/23,null
ethereum,flipside,0x213e1AB7aF73AC4b2856fD8BDfdB7c9037F60fa9,dydx delegate,MURPHY@BITCOIN,3/31/23,null
ethereum,flipside,0x62a43123FE71f9764f26554b3F5017627996816a,dydx delegate,flipside crypto (flipsidecrypto.eth),5/9/23,null
